제주 대분류,제주 중분류,업종명,성별,연령대별, 카드이용금액 , 카드이용건수 
서귀포시,성산읍,의원,남,20대,140300,11
제주시,이도2동,스넥,남,30대,4753000,380
제주시,연동,약국,남,40대,2585800,208
제주시,노형동,스넥,남,30대,10566320,854
제주시,이도2동,의원,남,40대,1248100,101
제주시,삼도2동,약국,남,50대,147900,12
제주시,삼도2동,슈퍼 마켓,여,20대,554380,45
제주시,연동,약국,남,30대,3345740,274
제주시,연동,약국,여,40대,2074600,170
제주시,삼도2동,의원,여,50대,158200,13
서귀포시,예래동,기타음료식품,여,20대,1411050,116
제주시,애월읍,슈퍼 마켓,여,20대,3089500,254
제주시,노형동,스넥,남,20대,6823950,566
제주시,연동,약국,여,20대,2321660,193
제주시,노형동,스넥,여,30대,7411340,618
서귀포시,예래동,기념품 점,남,30대,889300,75
제주시,노형동,스넥,여,50대,1183700,100
