제주 대분류,제주 중분류,업종명,성별,연령대별, 카드이용금액 , 카드이용건수 
서귀포시,대륜동,슈퍼 마켓,남,30대,3434270,163
서귀포시,남원읍,스포츠레져용품,남,50대,357450,17
제주시,용담2동,기타음료식품,여,40대,1070600,51
서귀포시,예래동,스넥,여,50대,2032500,97
서귀포시,예래동,기타음료식품,여,30대,4229050,202
서귀포시,대륜동,스넥,남,20대,272000,13
서귀포시,대륜동,슈퍼 마켓,남,40대,3823860,183
제주시,용담2동,스넥,남,20대,1104900,53
제주시,연동,스넥,여,50대,2786500,134
서귀포시,예래동,스넥,남,30대,7753770,374
서귀포시,남원읍,슈퍼 마켓,남,50대,3621770,175
제주시,노형동,기타음료식품,남,40대,640800,31
서귀포시,성산읍,기념품 점,남,30대,9992300,485
서귀포시,예래동,기타음료식품,여,50대,1459660,71
서귀포시,예래동,스넥,여,40대,5427160,264
제주시,용담2동,스넥,여,30대,964900,47
제주시,애월읍,슈퍼 마켓,여,30대,11478220,561
제주시,노형동,농축수산품,여,20대,858100,42
제주시,용담2동,스넥,남,50대,591300,29
제주시,애월읍,슈퍼 마켓,여,40대,11094540,546
제주시,연동,슈퍼 마켓,남,40대,25915930,1286
제주시,애월읍,스넥,여,40대,5875900,293
서귀포시,성산읍,스넥,남,40대,3822600,191
제주시,이도2동,슈퍼 마켓,여,20대,10187550,510
제주시,애월읍,슈퍼 마켓,남,50대,12799910,641
제주시,용담2동,스넥,남,40대,1116900,56
서귀포시,성산읍,스넥,남,20대,5593300,281
서귀포시,성산읍,슈퍼 마켓,남,50대,13401660,676
제주시,이도2동,악세 사리,여,20대,1636100,83
제주시,노형동,슈퍼 마켓,여,50대,6721400,342
서귀포시,성산읍,스넥,남,50대,1257300,64
제주시,용담2동,스넥,여,20대,962300,49
제주시,애월읍,슈퍼 마켓,여,50대,4809162,245
서귀포시,남원읍,스포츠레져용품,남,40대,412000,21
제주시,용담2동,스넥,남,30대,1324400,68
제주시,애월읍,스넥,남,50대,3326500,171
서귀포시,성산읍,기타음료식품,남,30대,3228540,166
서귀포시,예래동,기타음료식품,남,30대,3940430,203
서귀포시,대륜동,슈퍼 마켓,여,30대,1589300,82
서귀포시,성산읍,기타음료식품,남,50대,1199220,62
서귀포시,성산읍,스넥,남,30대,7699000,401
제주시,노형동,슈퍼 마켓,남,50대,20341380,1062
제주시,삼도2동,의원,남,50대,267900,14
제주시,애월읍,스넥,남,40대,7259500,383
제주시,노형동,슈퍼 마켓,남,40대,22128350,1168
